Remedy,Effect
Mulethi (Licorice Root),Soothes sore throat and boosts immunity  
Coconut Oil,Promotes hair and skin health  
Wheatgrass,Detoxifies and boosts energy levels  
Avarampoo,Regulates blood sugar and improves skin health  
Kachnar,Supports thyroid health and digestion  
Jivanti,Boosts stamina and immunity  
Gond (Edible Gum),Strengthens joints and boosts energy  
Babool Bark,Improves oral health and heals wounds  
Chia Water,Boosts hydration and aids digestion  
Betel Leaves,Supports digestion and oral health  
Sunflower Seeds,Rich in vitamins and improves heart health  
Pumpkin Seeds,Improves prostate health and sleep quality  
Almonds,Boosts brain function and heart health  
Walnuts,Supports brain function and reduces inflammation  
Pistachios,Regulates cholesterol and boosts energy  
Cashews,Improves heart health and bone strength  
Peanuts,Rich in protein and supports weight management  
Soy Milk,Boosts bone health and heart function  
Quinoa,Rich in protein and fiber  
Barley,Supports digestion and regulates cholesterol  
Oats,Supports heart health and digestion  
Brown Rice,Provides fiber and improves digestion  
Black Rice,Rich in antioxidants and supports heart health  
Millets,Supports digestion and provides nutrients  
Curry Powder,Supports metabolism and digestion  
Green Tea,Rich in antioxidants and supports metabolism  
Fennel Tea,Improves digestion and reduces bloating  
Chamomile Tea,Relieves stress and improves sleep  
Lemongrass Tea,Supports digestion and reduces anxiety  
Peppermint Tea,Relieves bloating and nausea  
Hibiscus Tea,Regulates blood pressure and improves heart health  
Ginger Tea,Boosts immunity and improves digestion  
Licorice Tea,Soothes throat and supports respiratory health  
Raspberry Leaves,Supports female reproductive health  
Holy Basil Tea,Boosts immunity and reduces stress  
Lavender Tea,Relieves stress and improves sleep  
Spearmint Tea,Supports hormone balance and digestion  
Apple Cider Vinegar,Aids digestion and regulates blood sugar  
Garlic,Boosts immunity and regulates blood pressure  
Onion,Supports heart health and immunity  
Radish,Detoxifies the liver and improves digestion  
Turnip,Rich in fiber and supports digestion  
Carrots,Boosts eye health and skin glow  
Spinach,Rich in iron and improves blood health  
Kale,Rich in antioxidants and supports heart health  
Parsley,Detoxifies kidneys and supports digestion  
Celery,Supports hydration and reduces inflammation  
Sweet Potato,Rich in fiber and regulates blood sugar  
Brinjal (Eggplant),Supports brain function and digestion  
Bottle Gourd,Supports weight loss and hydration  
Bitter Leaves,Detoxifies blood and supports digestion  
Fenugreek Leaves,Controls blood sugar and supports lactation  
Drumstick Leaves,Rich in iron and improves energy levels  
Pumpkin,Boosts immunity and supports eye health  
Okra (Ladyfinger),Regulates blood sugar and supports digestion  
Ivy Gourd,Regulates blood sugar and supports digestion  
Snake Gourd,Improves digestion and supports weight loss  
Tinda (Indian Round Gourd),Supports digestion and hydration  
Pointed Gourd,Supports liver health and weight management  
Parwal (Trichosanthes),Supports digestion and skin health  
Raw Mango,Boosts digestion and hydration  
Tamarind,Supports digestion and heart health  
Dates,Boosts energy and supports heart health  
Raisins,Improves digestion and supports blood circulation  
Black Grapes,Rich in antioxidants and supports heart health  
Lychee,Boosts immunity and hydration  
Apricot,Supports eye health and digestion  
Figs,Improves digestion and boosts energy  
Kiwi,Boosts immunity and supports digestion  
Pears,Supports hydration and gut health  
Mango,Boosts immunity and supports skin health  
Chikoo (Sapota),Supports digestion and boosts energy  
Jamun Juice,Regulates blood sugar and improves digestion  
Bael Juice,Supports gut health and digestion  
Coconut Water,Hydrates and balances electrolytes  
Turmeric,Reduces inflammation and relieves pain
Ginger,Relieves congestion cough and cold symptoms
Ashwagandha,Reduces stress anxiety and depression
Aloe Vera,Soothes the stomach and helps digestion
Garlic,Lowers blood pressure and improves heart health
Honey,Has antibacterial and antifungal properties
Cinnamon,Regulates blood sugar and improves insulin sensitivity
Chamomile,Promotes sleep and relaxation
